time,sliderVelocitymmsec
10.6,154.6981378
10.64,163.7757777
10.68,172.6206832
10.72,181.2202854
10.76,189.5623636
10.8,197.6350632
10.84,205.4269127
10.88,212.9268393
10.92,220.1241851
10.96,227.0087225
11,233.5706681
11.04,239.8006969
11.08,245.6899558
11.12,251.2300759
11.16,256.4131843
11.2,261.2319155
11.24,265.6794219
11.28,269.7493833
11.32,273.436016
11.36,276.7340812
11.4,279.6388921
11.44,282.1463209
11.48,284.2528043
11.52,285.9553489
11.56,287.2515353
11.6,288.1395216
11.64,288.6180458
11.68,288.686428
11.72,288.344571
11.76,287.5929606
11.8,286.4326648
11.84,284.8653326
11.88,282.8931911
11.92,280.5190429
11.96,277.7462618
12,274.5787881
12.04,271.0211229
12.08,267.0783219
12.12,262.7559879
12.16,258.0602633
12.2,252.9978209
12.24,247.5758548
12.28,241.8020699
12.32,235.684671
12.36,229.2323513
12.4,222.4542798
12.44,215.3600887
12.48,207.9598591
12.52,200.2641071
12.56,192.2837689
12.6,184.030185
12.64,175.5150841
12.68,166.7505666
12.72,157.7490874
12.76,148.5234382
12.8,139.0867291
12.84,129.45237
12.88,119.6340521
12.92,109.6457277
12.96,99.50159066
13,89.21605642
13.04,78.80374129
13.08,68.27944174
13.12,57.65811335
13.16,46.95484964
13.2,36.18486051
13.24,25.36345072
13.28,14.50599808
13.32,3.627931614
13.36,-7.255290336
13.4,-18.12820212
13.44,-28.97535274
13.48,-39.7813278
13.52,-50.53077141
13.56,-61.20840803
13.6,-71.79906416
13.64,-82.28768989
13.68,-92.6593803
13.72,-102.8993967
13.76,-112.9931874
13.8,-122.9264086
13.84,-132.6849446
13.88,-142.2549281
13.92,-151.6227595
13.96,-160.7751267
14,-169.6990236
14.04,-178.381769
14.08,-186.8110241
14.12,-194.9748105
14.16,-202.861527
14.2,-210.4599662
14.24,-217.7593303
14.28,-224.7492464
14.32,-231.4197816
14.36,-237.7614566
14.4,-243.7652596
14.44,-249.4226587
14.48,-254.7256147
14.52,-259.6665916
14.56,-264.2385681
14.6,-268.4350471
14.64,-272.2500652
14.68,-275.678201
14.72,-278.7145831
14.76,-281.3548965
14.8,-283.5953892
14.84,-285.4328773
14.88,-286.8647497
14.92,-287.8889716
14.96,-288.5040875
15,-288.7092233
15.04,-288.5040875
15.08,-287.8889716
15.12,-286.8647497
15.16,-285.4328773
15.2,-283.5953892
15.24,-281.3548965
15.28,-278.7145831
15.32,-275.678201
15.36,-272.2500652
15.4,-268.4350471
15.44,-264.2385681
15.48,-259.6665916
15.52,-254.7256147
15.56,-249.4226587
15.6,-243.7652596
15.64,-237.7614566
15.68,-231.4197816
15.72,-224.7492464
15.76,-217.7593303
15.8,-210.4599662
15.84,-202.861527
15.88,-194.9748105
15.92,-186.8110241
15.96,-178.381769
16,-169.6990236
16.04,-160.7751267
16.08,-151.6227595
16.12,-142.2549281
16.16,-132.6849446
16.2,-122.9264086
16.24,-112.9931874
16.28,-102.8993967
16.32,-92.6593803
16.36,-82.28768989
16.4,-71.79906416
16.44,-61.20840803
16.48,-50.53077141
16.52,-39.7813278
16.56,-28.97535274
16.6,-18.12820212
16.64,-7.255290336
16.68,3.627931614
16.72,14.50599808
16.76,25.36345072
16.8,36.18486051
16.84,46.95484964
16.88,57.65811335
16.92,68.27944174
16.96,78.80374129
17,89.21605642
17.04,99.50159066
17.08,109.6457277
17.12,119.6340521
17.16,129.45237
17.2,139.0867291
17.24,148.5234382
17.28,157.7490874
17.32,166.7505666
17.36,175.5150841
17.4,184.030185
17.44,192.2837689
17.48,200.2641071
17.52,207.9598591
17.56,215.3600887
17.6,222.4542798
17.64,229.2323513
17.68,235.684671
17.72,241.8020699
17.76,247.5758548
17.8,252.9978209
17.84,258.0602633
17.88,262.7559879
17.92,267.0783219
17.96,271.0211229
18,274.5787881
18.04,277.7462618
18.08,280.5190429
18.12,282.8931911
18.16,284.8653326
18.2,286.4326648
18.24,287.5929606
18.28,288.344571
18.32,288.686428
18.36,288.6180458
18.4,288.1395216
18.44,287.2515353
18.48,285.9553489
18.52,284.2528043
18.56,282.1463209
18.6,279.6388921
18.64,276.7340812
18.68,273.436016
18.72,269.7493833
18.76,265.6794219
18.8,261.2319155
18.84,256.4131843
18.88,251.2300759
18.92,245.6899558
18.96,239.8006969
19,233.5706681
19.04,227.0087225
19.08,220.1241851
19.12,212.9268393
19.16,205.4269127
19.2,197.6350632
19.24,189.5623636
19.28,181.2202854
19.32,172.6206832
19.36,163.7757777
19.4,154.6981378
19.44,145.4006634
19.48,135.8965666
19.52,126.1993535
19.56,116.3228041
19.6,106.2809537
19.64,96.08807219
19.68,85.7586443
19.72,75.30734868
19.76,64.7490372
19.8,54.09871379
19.84,43.37151315
19.88,32.58267922
19.92,21.74754352
19.96,10.88150336
20,7.07E-13
