time,actuationPowerWatt
10.8,-1.883773302
10.84,-2.047247822
10.88,-2.218588338
10.92,-2.397772099
10.96,-2.584742756
11,-2.779409499
11.04,-2.981646198
11.08,-3.191290588
11.12,-3.408143566
11.16,-3.631968594
11.2,-3.862491256
11.24,-4.09939895
11.28,-4.342340708
11.32,-4.590927149
11.36,-4.844730512
11.4,-5.103284772
11.44,-5.366085786
11.48,-5.632591446
11.52,-5.902221796
11.56,-6.174359079
11.6,-6.448347673
11.64,-6.723493863
11.68,-6.999065416
11.72,-7.27429091
11.76,-7.548358751
11.8,-7.820415847
11.84,-8.089565853
11.88,-8.354866952
11.92,-8.615329074
11.96,-8.8699105
12,-9.117513753
12.04,-9.356980701
12.08,-9.58708676
12.12,-9.806534122
12.16,-10.01394387
12.2,-10.20784695
12.24,-10.38667378
12.28,-10.54874258
12.32,-10.69224631
12.36,-10.81523817
12.4,-10.91561588
12.44,-10.99110495
12.48,-11.03924135
12.52,-11.05735427
12.56,-11.04255015
12.6,-10.99169961
12.64,-10.90142951
12.68,-10.76812359
12.72,-10.58793599
12.76,-10.3568234
12.8,-10.07060321
12.84,-9.725046216
12.88,-9.316013653
12.92,-8.83964812
12.96,-8.292626198
13,-7.672475626
13.04,-6.977951049
13.08,-6.209448889
13.12,-5.369424396
13.16,-4.462755215
13.2,-3.49698103
13.24,-2.482345287
13.28,-1.431579604
13.32,-0.359407126
13.36,0.718206922
13.4,1.784974127
13.44,2.825247298
13.48,3.824895131
13.52,4.771974061
13.56,5.657131569
13.6,6.473731177
13.64,7.217737005
13.68,7.887424458
13.72,8.482991573
13.76,9.006137417
13.8,9.459657079
13.84,9.847084043
13.88,10.1723944
13.92,10.43977543
13.96,10.65345363
14,10.81757359
14.04,10.9361178
14.08,11.01285811
14.12,11.05133051
14.16,11.05482644
14.2,11.0263955
14.24,10.96885534
14.28,10.88480599
14.32,10.77664637
14.36,10.64659165
14.4,10.49669047
14.44,10.32884134
14.48,10.14480803
14.52,9.946233523
14.56,9.734652656
14.6,9.511503363
14.64,9.278136573
14.68,9.03582487
14.72,8.785769983
14.76,8.52910923
14.8,8.266920997
14.84,8.000229367
14.88,7.730007982
14.92,7.457183221
14.96,7.182636788
15,6.907207772
15.04,6.631694245
15.08,6.356854475
15.12,6.083407793
15.16,5.81203518
15.2,5.543379621
15.24,5.27804627
15.28,5.016602478
15.32,4.759577714
15.36,4.507463431
15.4,4.260712916
15.44,4.019741145
15.48,3.784924695
15.52,3.556601734
15.56,3.335072111
15.6,3.120597573
15.64,2.913402123
15.68,2.713672514
15.72,2.521558879
15.76,2.337175484
15.8,2.160601554
15.84,1.991882144
15.88,1.831028988
15.92,1.678021242
15.96,1.532806055
16,1.395298864
16.04,1.265383342
16.08,1.142910914
16.12,1.027699809
16.16,0.919533624
16.2,0.818159458
16.24,0.7232857
16.28,0.634579648
16.32,0.551665197
16.36,0.47412087
16.4,0.401478534
16.44,0.333223119
16.48,0.268793672
16.52,0.20758596
16.56,0.148956788
16.6,0.092230024
16.64,0.03670419
16.68,-0.018338654
16.72,-0.073623182
16.76,-0.129870688
16.8,-0.187789176
16.84,-0.248064142
16.88,-0.311350512
16.92,-0.378266068
16.96,-0.449386566
17,-0.525242557
17.04,-0.60631785
17.08,-0.693049374
17.12,-0.785828166
17.16,-0.885001148
17.2,-0.990873363
17.24,-1.103710357
17.28,-1.223740471
17.32,-1.351156838
17.36,-1.486118969
17.4,-1.628753864
17.44,-1.779156649
17.48,-1.937390763
17.52,-2.103487769
17.56,-2.277446869
17.6,-2.459234207
17.64,-2.648782043
17.68,-2.845987888
17.72,-3.050713652
17.76,-3.262784866
17.8,-3.481990004
17.84,-3.708079949
17.88,-3.940767581
17.92,-4.179727522
17.96,-4.424596003
18,-4.674970839
18.04,-4.930411501
18.08,-5.190439239
18.12,-5.454537241
18.16,-5.72215077
18.2,-5.992687271
18.24,-6.26551638
18.28,-6.53996981
18.32,-6.815341065
18.36,-7.090884939
18.4,-7.365816744
18.44,-7.639311221
18.48,-7.910501075
18.52,-8.178475079
