time,actuatingForceNewton
6.84000000000001,-145.535423400055
6.88000000000001,-142.593744526421
6.92000000000001,-139.245529165193
6.96000000000001,-135.575882332398
7.00000000000001,-131.666568235604
7.04000000000001,-127.592600279024
7.08000000000001,-123.420152417631
7.12000000000001,-119.205622784718
7.16000000000001,-114.995588032412
7.20000000000001,-110.827370126737
7.24000000000001,-106.72996835821
7.28000000000001,-102.7251622084
7.32000000000001,-98.828647127694
7.36000000000001,-95.0511149338754
7.40000000000001,-91.399229323782
7.44000000000001,-87.876474623613
7.48000000000001,-84.4838740010918
7.52000000000001,-81.2205841515001
7.56000000000001,-78.0843790930853
7.60000000000001,-75.0720379300371
7.64000000000001,-72.1796515832485
7.68000000000001,-69.4028624711491
7.72000000000001,-66.7370495498454
7.76000000000001,-64.177469368026
7.80000000000001,-61.7193620735435
7.84000000000001,-59.3580297377128
7.88000000000001,-57.0888929882491
7.92000000000001,-54.9075307725323
7.96000000000001,-52.8097070990797
8.00000000000001,-50.7913878062923
8.04,-48.8487497597603
8.08,-46.9781843587864
8.12,-45.176296817295
8.16,-43.4399023546397
8.2,-41.7660201715748
8.24,-40.1518658821356
8.28,-38.5948429121899
8.32,-37.0925332508932
8.36,-35.6426878449632
8.4,-34.2432168517751
8.44,-32.8921799112399
8.48,-31.5877765546508
8.51999999999999,-30.3283368383971
8.55999999999999,-29.1123122694612
8.59999999999999,-27.9382670762392
8.63999999999999,-26.8048698711385
8.67999999999999,-25.7108857495234
8.71999999999999,-24.6551688720159
8.75999999999999,-23.6366555830846
8.79999999999999,-22.654358127445
8.83999999999999,-21.7073590361584
8.87999999999999,-20.7948062653507
8.91999999999999,-19.9159091808783
8.95999999999998,-19.0699354903961
8.99999999999998,-18.2562092281266
9.03999999999998,-17.4741098948121
9.07999999999998,-16.723072843124
9.11999999999998,-16.0025909742407
9.15999999999998,-15.3122177714188
9.19999999999998,-14.6515716385225
9.23999999999998,-14.020341433813
9.27999999999998,-13.4182929914372
9.31999999999998,-12.8452763067802
