time,actuationPowerWatt
0,2.68258069512754e-15
0.04,1.64740801211485
0.08,3.2700059687202
0.12,4.84444012577193
0.16,6.35006763527769
0.2,7.76985687924922
0.24,9.09086126858763
0.28,10.3042784177142
0.32,11.4051711683394
0.36,12.3919600949161
0.4,13.265799925164
0.44,14.0299340473493
0.48,14.6890934378113
0.52,15.2489782297433
0.56,15.7158371808031
0.6,16.096144365172
0.64,16.3963630839941
0.68,16.6227827572912
0.72,16.7814137325525
0.76,16.8779260752665
0.8,16.9176204498469
0.84,16.9054214907323
0.88,16.8458862315361
0.92,16.743222032583
0.96,16.6013099725168
1,16.4237308617382
1.04,16.2137919379113
1.08,15.9745529693674
1.12,15.708850971904
1.16,15.4193230825756
1.2,15.1084273668941
1.24,14.7784614919591
1.28,14.431579299199
1.32,14.0698053729054
1.36,13.6950477365427
1.4,13.3091088265408
1.44,12.9136948991076
1.48,12.5104240238688
1.52,12.1008328118706
1.56,11.6863820167451
1.6,11.268461138008
1.64,10.8483921454647
1.68,10.4274324341072
1.72,10.006777110035
1.76,9.58756070001498
1.8,9.17085837037296
1.84,8.75768673496494
1.88,8.34900432694993
1.92,7.9457118048447
1.96,7.54865195972932
2,7.15860958729003
2.04,6.77631128538471
2.08,6.40242523471986
2.12,6.03756101670745
2.16,5.68226951825875
2.2,5.33704296778213
2.24,5.00231513955587
2.28,4.67846175455853
2.32,4.36580109438653
2.36,4.06459483083379
2.4,3.7750490569701
2.44,3.49731548633011
2.48,3.23149276567465
2.52,2.97762782474293
2.56,2.73571716507892
2.6,2.50570797159512
2.64,2.28749891785114
2.68,2.08094053236348
2.72,1.88583500214562
2.76,1.70193531441707
2.8,1.52894368054014
2.84,1.36650924874137
2.88,1.21422519275807
2.92,1.07162535793227
2.96,0.938180746774308
3,0.813296221636604
3.04,0.696307879307319
3.08,0.586481596454551
3.12,0.483013242521002
3.16,0.385030998357994
3.2,0.291600101572779
3.24,0.201730168687878
3.28,0.114385034367187
3.32,0.0284948218229622
3.36,-0.0570302560499761
3.4,-0.143285039532277
3.44,-0.231354293007463
3.48,-0.322298116547107
3.52,-0.417138654194593
3.56,-0.516848721714341
3.6,-0.622342785833255
3.64,-0.734470505325755
3.68,-0.854012820667152
3.72,-0.981680379963293
3.76,-1.1181139346692
3.8,-1.26388624080436
3.84,-1.41950496242818
3.88,-1.58541608859981
3.92,-1.76200743178355
3.96,-1.94961186059198
4,-2.14851001840815
4.04,-2.35893237895615
4.08,-2.58106058035309
4.12,-2.8150280540472
4.16,-3.0609200211005
4.2,-3.31877296506525
4.24,-3.58857370982425
4.28,-3.87025823507782
4.32,-4.16371035510357
4.36,-4.46876037147228
4.4,-4.78518379072692
4.44,-5.11270017624575
4.48,-5.45097218161657
4.52,-5.79960479225179
4.56,-6.15814478353519
4.6,-6.52608038794302
4.64,-6.90284115041013
4.68,-7.28779794058528
4.72,-7.68026308223449
4.76,-8.07949055353977
4.8,-8.48467620698616
4.84,-8.89495795352804
4.88,-9.3094158523819
4.92,-9.7270720447649
4.96,-10.1468904668649
5,-10.5677762740272
5.04,-10.9885749043429
5.08,-11.4080707053365
5.12,-11.8249850421278
5.16,-12.2379737991802
5.2,-12.645624180491
5.24,-13.046450704835
5.28,-13.4388902835538
5.32,-13.8212962586041
5.36,-14.1919312685624
5.4,-14.548958800698
5.44,-14.8904332791263
5.48,-15.2142885340284
5.52,-15.518324497321
5.56,-15.8001919793916
5.6,-16.0573754044777
5.64,-16.2871734258564
5.68,-16.4866774158879
5.72,-16.652747943371
5.76,-16.7819895296137
5.8,-16.8707242390026
5.84,-16.9149650407013
5.88,-16.9103904144479
5.92,-16.8523224120801
5.96,-16.7357113797171
6,-16.5551318447719
6.04,-16.3047957137994
6.08,-15.9785909085264
6.12,-15.5701558037495
6.16,-15.0730020931313
6.2,-14.480700538921
6.24,-13.7871446755475
6.28,-12.9869057532024
6.32,-12.0756864682341
6.36,-11.0508696314566
6.4,-9.91213961141942
6.44,-8.6621293472834
6.48,-7.307016903052
6.52,-5.85696968735601
6.56,-4.32632193910774
6.6,-2.73338324619266
6.64000000000001,-1.09981995139342
6.68000000000001,0.550375609869579
6.72000000000001,2.19222718973817
6.76000000000001,3.80125445362914
6.80000000000001,5.35488293722461
6.84000000000001,6.833593922842
6.88000000000001,8.22168628548024
6.92000000000001,9.50760699554786
6.96000000000001,10.6838867570098
7.00000000000001,11.7467719808512
7.04000000000001,12.6956666836972
7.08000000000001,13.5324924225949
7.12000000000001,14.2610516906019
7.16000000000001,14.8864514155909
7.20000000000001,15.414616401079
7.24000000000001,15.8519018615235
7.28000000000001,16.2048005961173
7.32000000000001,16.4797329036978
7.36000000000001,16.6829044267678
7.40000000000001,16.8202170790685
7.44000000000001,16.8972197415288
